full_name,commit_frequency,activity_consistency,commit_trend,active_days_ratio,peak_to_average_ratio,recent_vs_past_ratio,velocity_stability,has_description,has_license,forks_count,open_issues_count,stars,commit_count_total,has_readme,health_score,health_grade
Leaflet/Leaflet,4.8077,5.133,-0.022368,0.8077,5.616,1.6667,1.0677,1,1,5996,5281,43512,7975,1,68.99,C
ai/nanoid,0.6731,1.5282,-0.033339,0.3077,10.4,10.0,2.2705,1,1,823,247,26046,1143,1,54.03,C
Cinnamon/kotaemon,0.3269,1.2515,-0.02557,0.0769,21.4118,0.0,3.8281,1,1,1866,441,22990,323,1,39.95,D
pandas-dev/pandas,24.6538,14.2557,0.710151,1.0,2.5148,0.7935,0.5782,1,1,18869,27682,46449,36375,1,71.75,B
jitsi/jitsi-meet,15.3654,6.8276,-0.190771,1.0,2.408,1.75,0.4444,1,1,7396,6730,26970,13355,1,67.29,C
go-delve/delve,3.5962,3.0272,-0.009605,0.8462,4.1711,0.75,0.8418,1,1,2182,1804,24174,2844,1,70.9,B
httpie/cli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3758,902,36489,1797,1,57.43,C
TabbyML/tabby,6.25,10.4474,-0.489243,0.6923,7.36,0.0,1.6716,1,1,1577,944,32021,3673,1,65.01,C
woltapp/blurhash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,374,71,16619,377,1,59.88,C
GitbookIO/gitbook,18.8654,10.4145,-0.314138,0.9808,2.7034,2.04,0.552,1,1,4003,1912,28245,1532,1,71.48,B
microsoft/terminal,6.0385,3.6266,0.034065,0.9615,2.9809,1.3333,0.6006,1,1,8722,13485,99807,4697,1,78.56,A
karpathy/llama2.c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2339,227,18719,523,1,57.9,C
jgraph/drawio-desktop,2.25,3.5835,0.034534,0.5385,7.1111,2.2,1.5927,1,1,5398,1639,56537,977,1,67.87,C
kubernetes/kubernetes,137.1923,63.3328,-0.600615,1.0,2.092,0.7826,0.4616,1,1,41266,47740,117187,132194,1,69.03,C
nektos/act,1.0577,1.486,-0.042645,0.5192,6.6182,1.0,1.4049,1,1,1725,1283,65470,1295,1,64.15,C
ElemeFE/mint-ui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3527,1226,16524,304,1,51.0,C
netty/netty,16.0385,10.8006,-0.308546,0.9808,2.8058,2.3333,0.6734,1,1,16144,6720,34392,13707,1,66.68,C
microsoft/autogen,8.1538,10.2589,-0.572782,0.5769,4.2925,0.0,1.2582,1,1,7523,2863,49256,3760,1,64.81,C
casbin/casbin,1.0385,1.5807,0.031503,0.4615,5.7778,0.0,1.5221,1,1,1687,856,19073,1127,1,55.91,C
hiroi-sora/Umi-OCR,1.1923,4.8597,-0.113208,0.1346,24.3226,0.0,4.0759,1,1,3600,784,36376,1265,1,44.07,D
ranaroussi/yfinance,4.2692,5.1669,-0.093827,0.7692,5.3874,3.0,1.2103,1,1,2791,1614,18877,1606,1,66.31,C
